Parameters;Mean Accuracy;Test on (1, 'linear', 'scale', 0.7)
{'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'pca__n_components': 0.7};0.5200959419162453;0.4162782359268555
{'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'auto', 'pca__n_components': 0.7};0.5200959419162453;
{'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'pca__n_components': 0.7};0.5200959419162453;
{'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.1, 'pca__n_components': 0.7};0.5200959419162453;
{'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'pca__n_components': 0.7};0.5208090237261765;
{'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 'auto', 'pca__n_components': 0.7};0.5208090237261765;
{'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'pca__n_components': 0.7};0.5208090237261765;
{'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.1, 'pca__n_components': 0.7};0.5208090237261765;
{'svm__C': 10, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'pca__n_components': 0.7};0.5206793724880073;
{'svm__C': 10, 'svm__kernel': 'linear', 'svm__gamma': 'auto', 'pca__n_components': 0.7};0.5206793724880073;
{'svm__C': 10, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'pca__n_components': 0.7};0.5206793724880073;
{'svm__C': 10, 'svm__kernel': 'linear', 'svm__gamma': 0.1, 'pca__n_components': 0.7};0.5206793724880073;
